,borough,type,site_name,borough_name,latitude,longitude
71,City of London,Jewellery design,JVM London Ltd,City and County of the City of London,51.51383167912261,-0.10211248121016843
72,City of London,Jewellery design,Orange River Diamond Ltd,City and County of the City of London,51.517285223457144,-0.09603044871295076
73,City of London,Jewellery design,Producers Price England Ltd,City and County of the City of London,51.51694915636722,-0.10470698849010944
74,City of London,Jewellery design,Siara London Limited,City and County of the City of London,51.51700446412676,-0.08596707862889066
75,City of London,Jewellery design,Stones In Tones Limited,City and County of the City of London,51.51786582484958,-0.10634091374507323
76,City of London,Jewellery design,The Jewellery Agency Limited,City and County of the City of London,51.51526360602253,-0.0839934388086238
77,City of London,Jewellery design,The Pink Peacock Limited,City and County of the City of London,51.51933935556003,-0.09737175742395764
78,City of London,Jewellery design,Ulus Capital Ltd,City and County of the City of London,51.51685187384134,-0.0887408755897513
79,City of London,Jewellery design,Xtra-Star LTD.,City and County of the City of London,51.51462543141521,-0.09726560573741648
80,City of London,LGBT+ night time venues,The Minories (Regular LGBTQ+ Programming),City of London,51.510667145002024,-0.07474473774107879
81,City of London,Libraries,Shoe Lane,City and County of the City of London,51.515441262082774,-0.10655681648109486
82,City of London,Libraries,Artizan Street,City and County of the City of London,51.51565786521085,-0.07677027557954062
83,City of London,Libraries,Guildhall Library and City Business Library,City and County of the City of London,51.5160730392103,-0.0928236223742909
84,City of London,Libraries,Barbican,City and County of the City of London,51.51996070969431,-0.09410258685676257
85,City of London,Makerspaces,The Goldsmiths' Centre,City of London,51.515636685727536,-0.09585420180587846
86,City of London,Making and manufacturing,The Holmes Wood Consultancy Limited,City of London,51.51818562434008,-0.09455552419302847
87,City of London,Museums and public galleries,Barts Pathology Museum,City and County of the City of London,51.517647578927814,-0.10101762596157238
88,City of London,Museums and public galleries,St Bartholomews Hospital Museum,City and County of the City of London,51.517647578927814,-0.10101762596157238
89,City of London,Museums and public galleries,Dr JohnsonÊ¼s House,City and County of the City of London,51.51503545846408,-0.10815906549016173
90,City of London,Museums and public galleries,Museum of London,City and County of the City of London,51.5177983976545,-0.09606669312227273
91,City of London,Museums and public galleries,Barbican Art Gallery,City and County of the City of London,51.51996070969431,-0.09410258685676257
92,City of London,Museums and public galleries,British Red Cross Museum and Archives,City and County of the City of London,51.5190921022144,-0.08865050406854393
93,City of London,Museums and public galleries,Guildhall Art Gallery and London's Roman Amphitheatre,City and County of the City of London,51.51556807522475,-0.09163402345651066
94,City of London,Music venues (all),St. Magnus The Martyr,City And County Of The City Of London,51.509122103457315,-0.08292541511821515
95,City of London,Music venues (all),The Steelyard,City And County Of The City Of London,51.510001760117035,-0.09054090045317904
96,City of London,Music venues (all),Revolution,City And County Of The City Of London,51.511229422162856,-0.07597688036784048
97,City of London,Music venues (all),Cos Bar,City And County Of The City Of London,51.51233032484463,-0.10158401253367676
98,City of London,Music venues (all),Yager Bar,City And County Of The City Of London,51.51251472763168,-0.09742565384944853
99,City of London,Music venues (all),Cockpit,City And County Of The City Of London,51.512705902518924,-0.1014530948356877
100,City of London,Music venues (all),St. Stephen Walbrook,City And County Of The City Of London,51.51271954460312,-0.09011013514460132
101,City of London,Music venues (all),Madison,City And County Of The City Of London,51.51346471841162,-0.09611776169215616
102,City of London,Music venues (all),Pause Bar,City And County Of The City Of London,51.513367937828036,-0.07861068843545571
103,City of London,Music venues (all),Tipperary,City And County Of The City Of London,51.51410928380418,-0.10760653972160124
104,City of London,Music venues (all),Revolution,City And County Of The City Of London,51.51378776438385,-0.08283032565359698
105,City of London,Music venues (all),City Zebrano,City And County Of The City Of London,51.51448346521482,-0.07754041061277725
106,City of London,Music venues (all),Balls Brothers,City And County Of The City Of London,51.51497647379259,-0.0801860484940521
107,City of London,Music venues (all),Kanaloa,City And County Of The City Of London,51.5154115120235,-0.106385094991134
108,City of London,Music venues (all),Tokenhouse,City And County Of The City Of London,51.515186706480144,-0.08919976250191675
109,City of London,Music venues (all),Balls Brothers Shoe Lane,City And County Of The City Of London,51.51616020272725,-0.10652698993588523
110,City of London,Music venues (all),St. Anne And St. Agnes Church,City And County Of The City Of London,51.516497671210615,-0.09626509258552336
111,City of London,Music venues (all),St. Andrew Holborn Church,City And County Of The City Of London,51.51703145317054,-0.10646201592588901
112,City of London,Music venues (all),Cinnamon Kitchen,City And County Of The City Of London,51.517189326089465,-0.07857951322320493
113,City of London,Music venues (all),Old Bengal Bar,City And County Of The City Of London,51.51727324408989,-0.07985880217825117
114,City of London,Music venues (all),Astronomer,City And County Of The City Of London,51.5179479699672,-0.07877819190173332
115,City of London,Music venues (all),Dirty Dicks Public House,City And County Of The City Of London,51.51805980717226,-0.079566252299935
116,City of London,Music venues (all),Barbican Centre,City And County Of The City Of London,51.519885162579115,-0.09166969489686518
117,City of London,Music venues (all),"Milton Court, Guildhall School Of Music And Drama",City And County Of The City Of London,51.51988117629313,-0.0914248153987872
118,City of London,Pubs,City Bar & Kitchen,City and County of the City of London,51.515176606741676,-0.07758327656468073
119,City of London,Pubs,Simmons,City and County of the City of London,51.51812747489479,-0.07820848785729362
120,City of London,Pubs,Kings Stores,City and County of the City of London,51.51812747489479,-0.07820848785729362
121,City of London,Pubs,Astronomer,City and County of the City of London,51.51794796997178,-0.07877819190293753
122,City of London,Pubs,Williams Ale & Cider House,City and County of the City of London,51.51834456791367,-0.078285829159438
123,City of London,Pubs,Duke Of Somerset,City and County of the City of London,51.513920156798896,-0.07445100147820898
124,City of London,Pubs,Fable,City and County of the City of London,51.51712949969306,-0.10418061244967444
125,City of London,Pubs,Lord Raglan,City and County of the City of London,51.51655603451685,-0.09653651288033556
126,City of London,Pubs,Viaduct Tavern,City and County of the City of London,51.51625087427189,-0.10156507268297636
127,City of London,Pubs,Lamb & Trotter,City and County of the City of London,51.51711126010368,-0.09805560924032344
128,City of London,Pubs,Lino,City and County of the City of London,51.51815512865922,-0.09920845838186723
129,City of London,Pubs,Hand & Shears,City and County of the City of London,51.51943064545666,-0.09856434024585582
130,City of London,Pubs,Rising Sun,City and County of the City of London,51.51912604274765,-0.09974458508333182
131,City of London,Pubs,Butcher's Hook & Cleaver,City and County of the City of London,51.518869047273064,-0.10053365070331163
132,City of London,Pubs,St Barts Brewery,City and County of the City of London,51.518869047273064,-0.10053365070331163
133,City of London,Pubs,Ask for Janice,City and County of the City of London,51.51921824415994,-0.0998848881504311
134,City of London,Pubs,Old Red Cow,City and County of the City of London,51.51921824415994,-0.0998848881504311
135,City of London,Pubs,Bishops Finger,City and County of the City of London,51.51848657196765,-0.10190448731853204
136,City of London,Pubs,Bird of Smithfield,City and County of the City of London,51.5183435846237,-0.10251581869646076
137,City of London,Pubs,Shakespeare,City and County of the City of London,51.522478033751256,-0.09738503074259587
138,City of London,Pubs,Inn of Court,City and County of the City of London,51.517846727512406,-0.11017576034115226
139,City of London,Pubs,Chiswell Street Dining Rooms,City and County of the City of London,51.52079530169491,-0.0906802548119059
140,City of London,Pubs,Jugged Hare,City and County of the City of London,51.52079530169491,-0.0906802548119059
141,City of London,Pubs,Piccolino,City and County of the City of London,51.520198274192474,-0.0816528601279912
142,City of London,Pubs,Corney & Barrow,City and County of the City of London,51.5195829914168,-0.08032376896310534
143,City of London,Pubs,Salt Point Bar,City and County of the City of London,51.5195829914168,-0.08032376896310534
144,City of London,Pubs,Gow's,City and County of the City of London,51.517043682161216,-0.08341422163708752
145,City of London,Pubs,Lord Aberconway,City and County of the City of London,51.51690821052758,-0.08282895329831746
146,City of London,Pubs,Kings Arms,City and County of the City of London,51.51640213717064,-0.08267725298056673
147,City of London,Pubs,Beany Green,City and County of the City of London,51.5186950467637,-0.0837628717939453
148,City of London,Pubs,Mrs Fogg's Maritime Club & Distillery,City and County of the City of London,51.5186950467637,-0.0837628717939453
149,City of London,Pubs,Botanist,City and County of the City of London,51.5186950467637,-0.0837628717939453
150,City of London,Pubs,Bangers,City and County of the City of London,51.51909832832656,-0.08587924870585394
151,City of London,Pubs,Tank & Paddle,City and County of the City of London,51.520644375839474,-0.079241247608824
152,City of London,Pubs,We Are Bar,City and County of the City of London,51.51876948693482,-0.08006970966318129
153,City of London,Pubs,All Bar One,City and County of the City of London,51.51843816646566,-0.08015572073963924
154,City of London,Pubs,Dirty Dicks,City and County of the City of London,51.517954093658616,-0.0797004269106184
155,City of London,Pubs,Boisdale,City and County of the City of London,51.517954093658616,-0.0797004269106184
156,City of London,Pubs,Woodin's Shades,City and County of the City of London,51.51828873452335,-0.07926833644739056
157,City of London,Pubs,Bull,City and County of the City of London,51.51690100278781,-0.08019156492326313
158,City of London,Pubs,Magpie,City and County of the City of London,51.517236842492224,-0.07928378497362511
159,City of London,Pubs,Pittcue,City and County of the City of London,51.51654372645864,-0.0781454645199272
160,City of London,Pubs,Bierschenke,City and County of the City of London,51.517182598470534,-0.0853109935177548
161,City of London,Pubs,Globe,City and County of the City of London,51.51767012188468,-0.08873543253599725
162,City of London,Pubs,Keats at the Globe,City and County of the City of London,51.51767012188468,-0.08873543253599725
163,City of London,Pubs,Kitty Hawk,City and County of the City of London,51.51846545723894,-0.08622290541992314
164,City of London,Pubs,Red Lion,City and County of the City of London,51.51874597190679,-0.08577871647645756
165,City of London,Pubs,Railway Tavern,City and County of the City of London,51.517670310457724,-0.0843392169157786
166,City of London,Pubs,Merchant of Bishopsgate,City and County of the City of London,51.518489160233024,-0.08217155147185075
167,City of London,Pubs,Hamilton Hall,City and County of the City of London,51.518489160233024,-0.08217155147185075
168,City of London,Pubs,East way,City and County of the City of London,51.51732709813796,-0.0814997035403015
169,City of London,Pubs,Lady Abercorns,City and County of the City of London,51.51732709813796,-0.0814997035403015
170,City of London,Pubs,Otherist,City and County of the City of London,51.515346329459994,-0.08465296896267822
171,City of London,Pubs,Broadleaf,City and County of the City of London,51.51528275657186,-0.08406470025719323
172,City of London,Pubs,Be at One,City and County of the City of London,51.51617697028416,-0.08320559502763104
173,City of London,Pubs,Phoenix,City and County of the City of London,51.51496451568296,-0.08605263550193376
174,City of London,Pubs,Arbitrager,City and County of the City of London,51.51496451568296,-0.08605263550193376
175,City of London,Pubs,Balls Brothers (Austin Friars),City and County of the City of London,51.51570715808751,-0.08527200528422252
176,City of London,Pubs,Drift,City and County of the City of London,51.516377618222315,-0.08117928474860307
177,City of London,Pubs,Gable,City and County of the City of London,51.5157667774857,-0.08947815193232883
178,City of London,Pubs,Tokenhouse,City and County of the City of London,51.51551991465345,-0.08922905065730542
179,City of London,Pubs,Telegraph,City and County of the City of London,51.51564843935421,-0.08828681552624124
180,City of London,Pubs,Browns Bar & Brasserie Old Jewry,City and County of the City of London,51.51408918835905,-0.09083110277585098
181,City of London,Pubs,Brasserie Blanc,City and County of the City of London,51.51422615317721,-0.0865448064417365
182,City of London,Pubs,El Vino (Masons Avenue),City and County of the City of London,51.51571701136704,-0.09028737214180667
183,City of London,Pubs,Dr Butlers Head,City and County of the City of London,51.51571701136704,-0.09028737214180667
184,City of London,Pubs,Davy's,City and County of the City of London,51.516369677013024,-0.09060598134229586
185,City of London,Pubs,Bottlescrue,City and County of the City of London,51.5151070750283,-0.09646722697809547
186,City of London,Pubs,Anthologist,City and County of the City of London,51.514885638433206,-0.09114369516911064
187,City of London,Pubs,Slug & Lettuce,City and County of the City of London,51.516188140972424,-0.0932656246700748
188,City of London,Pubs,City Boot,City and County of the City of London,51.51767333569172,-0.09445756837462904
189,City of London,Pubs,London Wall (Bar & Kitchen),City and County of the City of London,51.5177983976545,-0.09606669312227273
190,City of London,Pubs,Rack & Tenter,City and County of the City of London,51.51878063548367,-0.08900602972734631
191,City of London,Pubs,Liberty Bounds,City and County of the City of London,51.50973455542877,-0.07859070184574159
192,City of London,Pubs,Amber,City and County of the City of London,51.519348366817866,-0.08963089742263941
193,City of London,Pubs,Old Tea Warehouse,City and County of the City of London,51.51365076991614,-0.07885820764655763
194,City of London,Pubs,Trinity Bell,City and County of the City of London,51.51365076991614,-0.07885820764655763
195,City of London,Pubs,Adriatico,City and County of the City of London,51.51389104421813,-0.0787039665872633
196,City of London,Pubs,Craft Beer Co.,City and County of the City of London,51.513689798841725,-0.07849624974042255
197,City of London,Pubs,Alchemist,City and County of the City of London,51.514973659822,-0.07946551664891477
198,City of London,Pubs,All Bar One,City and County of the City of London,51.5157228603521,-0.07908806900135057
199,City of London,Pubs,Alice,City and County of the City of London,51.5151782513256,-0.0782317955737272
200,City of London,Pubs,Lion Bar & Kitchen,City and County of the City of London,51.515027606620606,-0.07836785659178389
201,City of London,Pubs,City Zebrano,City and County of the City of London,51.514360253329144,-0.07770414189274752
202,City of London,Pubs,Slug & Lettuce,City and County of the City of London,51.5151254488274,-0.0804968685505358
203,City of London,Pubs,Sterling,City and County of the City of London,51.5144859907698,-0.0804372873329724
204,City of London,Pubs,Balls Brothers,City and County of the City of London,51.51497647379717,-0.08018604849525551
205,City of London,Pubs,Fen,City and County of the City of London,51.51176596441618,-0.07908166417434
206,City of London,Pubs,East India Arms,City and County of the City of London,51.51250665020013,-0.07873342114773818
207,City of London,Pubs,Corney & Barrow,City and County of the City of London,51.512875966342904,-0.08096619905807273
208,City of London,Pubs,Wine Lodge,City and County of the City of London,51.5116688599998,-0.0824869721220618
209,City of London,Pubs,Factory House,City and County of the City of London,51.51241046867764,-0.08274405861040242
210,City of London,Pubs,One Under Lime,City and County of the City of London,51.51285245820411,-0.0828263777392511
211,City of London,Pubs,Hoop & Grapes,City and County of the City of London,51.51422262014057,-0.07425087357429662
212,City of London,Pubs,Slug & Lettuce,City and County of the City of London,51.51232506339441,-0.07533979327467742
213,City of London,Pubs,Three Lords,City and County of the City of London,51.51232506339441,-0.07533979327467742
214,City of London,Pubs,Jamies,City and County of the City of London,51.511499962512254,-0.07547547076066148
215,City of London,Pubs,Minories,City and County of the City of London,51.510660667850686,-0.0747470426780179
216,City of London,Pubs,Dirty Martini,City and County of the City of London,51.51240594277672,-0.07588404604660444
217,City of London,Pubs,Chamberlain,City and County of the City of London,51.51224229411742,-0.07577564806251064
218,City of London,Pubs,Crutched Friar,City and County of the City of London,51.51131097250881,-0.07875492903885911
219,City of London,Pubs,Habit,City and County of the City of London,51.51131097250881,-0.07875492903885911
220,City of London,Pubs,Cheshire Cheese,City and County of the City of London,51.511318069986245,-0.07863933550752962
221,City of London,Pubs,Isis Bar & Lounge,City and County of the City of London,51.510717189802705,-0.0765461162148322
222,City of London,Pubs,Three Tuns,City and County of the City of London,51.51255681673029,-0.07685771796455942
223,City of London,Pubs,Missouri Angel,City and County of the City of London,51.51171965888875,-0.07571121057623692
224,City of London,Pubs,Revolution,City and County of the City of London,51.511422158089076,-0.0762137576072794
225,City of London,Pubs,Natural Kitchen (Trinity Square),City and County of the City of London,51.5109070647615,-0.07825310905232621
226,City of London,Pubs,Draft House Seething,City and County of the City of London,51.51001689948987,-0.07935703385962324
227,City of London,Pubs,Hung Drawn & Quartered,City and County of the City of London,51.509675113304716,-0.08099989500280265
228,City of London,Pubs,BrewDog Tower Hill,City and County of the City of London,51.509740377274724,-0.08114126459269239
229,City of London,Pubs,All Bar One,City and County of the City of London,51.509716095549535,-0.07911028707553958
230,City of London,Pubs,Bodeans,City and County of the City of London,51.509716095549535,-0.07911028707553958
231,City of London,Pubs,Monument,City and County of the City of London,51.51007605939489,-0.08627203066758128
232,City of London,Pubs,Tank & Paddle,City and County of the City of London,51.510990447579616,-0.08114635813429599
233,City of London,Pubs,Balls Brothers (Mark Lane),City and County of the City of London,51.51066931547907,-0.08075633278481993
234,City of London,Pubs,Davy's,City and County of the City of London,51.51094454549211,-0.08163828645949804
235,City of London,Pubs,Camino,City and County of the City of London,51.51094454549211,-0.08163828645949804
236,City of London,Pubs,Mas Q Menos,City and County of the City of London,51.51145969831526,-0.07959897012000022
237,City of London,Pubs,Roma,City and County of the City of London,51.511268149200745,-0.0794340876346588
238,City of London,Pubs,Windsor,City and County of the City of London,51.511268149200745,-0.0794340876346588
239,City of London,Pubs,Ship,City and County of the City of London,51.510871544271325,-0.07992636227845251
240,City of London,Pubs,Balls Brothers (Minster Exchange),City and County of the City of London,51.51091999458002,-0.0806881451066667
241,City of London,Pubs,Britannia,City and County of the City of London,51.509924047818316,-0.08577400790125647
242,City of London,Pubs,Hydrant,City and County of the City of London,51.51031018025496,-0.08629103774293559
243,City of London,Pubs,Walrus & Carpenter,City and County of the City of London,51.50949212733345,-0.08410600887356179
244,City of London,Pubs,Steam Wine Bar,City and County of the City of London,51.510329718968805,-0.08473378165674264
245,City of London,Pubs,Jamies,City and County of the City of London,51.50992587450335,-0.08368428384580959
246,City of London,Pubs,Ship,City and County of the City of London,51.5110498197513,-0.08477562390590802
247,City of London,Pubs,Folly,City and County of the City of London,51.51312999001581,-0.08440008485918232
248,City of London,Pubs,New Moon,City and County of the City of London,51.51284716907419,-0.08415253359834818
249,City of London,Pubs,Crosse Keys,City and County of the City of London,51.51279250353671,-0.0846592589261058
250,City of London,Pubs,Lamb Tavern,City and County of the City of London,51.512700124342395,-0.08340926778064021
251,City of London,Pubs,Old Toms Bar,City and County of the City of London,51.512700124342395,-0.08340926778064021
252,City of London,Pubs,Swan,City and County of the City of London,51.51220983099226,-0.08422252314321914
253,City of London,Pubs,Cock & Woolpack,City and County of the City of London,51.5136912979145,-0.08573130452571012
254,City of London,Pubs,Silk & Grain,City and County of the City of London,51.513228586945885,-0.08713429932638019
255,City of London,Pubs,Forge,City and County of the City of London,51.513228586945885,-0.08713429932638019
256,City of London,Pubs,Pitcher & Piano,City and County of the City of London,51.513228586945885,-0.08713429932638019
257,City of London,Pubs,Counting House,City and County of the City of London,51.51330756133745,-0.08481059329418128
258,City of London,Pubs,Revolution,City and County of the City of London,51.51362055459188,-0.08305353826820801
259,City of London,Pubs,Simpsons Tavern,City and County of the City of London,51.513057013863715,-0.08598850509976086
260,City of London,Pubs,Jamaica Wine House,City and County of the City of London,51.513033163025284,-0.08562919764034965
261,City of London,Pubs,Editors Tap,City and County of the City of London,51.51477823025709,-0.10949570263670014
262,City of London,Pubs,Draft House Chancery,City and County of the City of London,51.516589775240156,-0.1086279290677645
263,City of London,Pubs,White Swan,City and County of the City of London,51.516197675730375,-0.10940807896941404
264,City of London,Pubs,26 Furnival Street,City and County of the City of London,51.5167332966757,-0.11027952027726212
265,City of London,Pubs,Olde Cheshire Cheese,City and County of the City of London,51.51432977048688,-0.10733797063713517
266,City of London,Pubs,Old Bank Of England,City and County of the City of London,51.51395574749127,-0.11091337095298356
267,City of London,Pubs,Refinery New Street Square,City and County of the City of London,51.515911819906215,-0.10841100155367088
268,City of London,Pubs,Kanaloa,City and County of the City of London,51.516160202731825,-0.10652698993709146
269,City of London,Pubs,Balls Brothers (Shoe Lane),City and County of the City of London,51.516160202731825,-0.10652698993709146
270,City of London,Pubs,White Haus,City and County of the City of London,51.51568426254168,-0.10434153679652687
271,City of London,Pubs,Harrild & Sons,City and County of the City of London,51.51568426254168,-0.10434153679652687
272,City of London,Pubs,Hoop & Grapes,City and County of the City of London,51.51534262219347,-0.10490341887174537
273,City of London,Pubs,Union,City and County of the City of London,51.51489933753547,-0.10251488379520916
274,City of London,Pubs,Olde London,City and County of the City of London,51.51397932697896,-0.10178926619818077
275,City of London,Pubs,All Bar One,City and County of the City of London,51.51397932697896,-0.10178926619818077
276,City of London,Pubs,Saint,City and County of the City of London,51.51505320184528,-0.09979886071362463
277,City of London,Pubs,Happenstance,City and County of the City of London,51.51485257429465,-0.09907215742757636
278,City of London,Pubs,Paternoster Chop House,City and County of the City of London,51.51485257429465,-0.09907215742757636
279,City of London,Pubs,Paternoster,City and County of the City of London,51.51500429251879,-0.09844608319341208
280,City of London,Pubs,Magpie & Stump,City and County of the City of London,51.51588764622559,-0.10245938243359344
281,City of London,Pubs,Jamies,City and County of the City of London,51.51390204190609,-0.10257075578909937
282,City of London,Pubs,Fleet Place,City and County of the City of London,51.51622034899221,-0.10356978224059156
283,City of London,Pubs,Little Fable,City and County of the City of London,51.5152201192352,-0.10400049153231103
284,City of London,Pubs,Dion,City and County of the City of London,51.51441688673089,-0.09826877786591644
285,City of London,Pubs,Vinyl Bar,City and County of the City of London,51.512514727636244,-0.09742565385065356
286,City of London,Pubs,Bread Street Kitchen & Bar,City and County of the City of London,51.51332894414407,-0.09495602209577926
287,City of London,Pubs,Popworld,City and County of the City of London,51.513097257147855,-0.09453332289401216
288,City of London,Pubs,Pavilion End,City and County of the City of London,51.51301576681979,-0.0939458211552826
289,City of London,Pubs,Juno Rooms,City and County of the City of London,51.51299577502977,-0.09326927881807699
290,City of London,Pubs,Olde Watling,City and County of the City of London,51.513158705598705,-0.09333453401092276
291,City of London,Pubs,Williamsons Tavern,City and County of the City of London,51.51327357023277,-0.09376210674118904
292,City of London,Pubs,Four Sisters Townhouse,City and County of the City of London,51.51327357023277,-0.09376210674118904
293,City of London,Pubs,Fine Line,City and County of the City of London,51.51379774841013,-0.09447525366362967
294,City of London,Pubs,Golden Fleece,City and County of the City of London,51.51328960880755,-0.09253638497325332
295,City of London,Pubs,Core Bar,City and County of the City of London,51.51298570308864,-0.09264997158717464
296,City of London,Pubs,Sea Horse,City and County of the City of London,51.51254167114272,-0.09354766725242128
