,artist,title,year,groundtruth,height,width
N00497,Joseph Mallord William Turner,Crossing the Brook,1815,L,1930,1651
T00913,David Bomberg,In the Hold,1913,O,1962,2311
N00460,Joseph Mallord William Turner,"Buttermere Lake, with Part of Cromackwater, Cumberland, a Shower",1798,L,889,1194
N05366,Gwen John,Self-Portrait,1902,P,448,349
N01607,John William North,The Winter Sun,1891,L,667,984
N02661,John Constable,Dedham Lock and Mill,1817,L,546,765
N05804,Marc Chagall,Bouquet with Flying Lovers,1934,O,1305,975
T03107,Patrick Heron,Azalea Garden : May 1956,1956,O,1524,1276
N05909,Alberto Giacometti,Seated Man,1949,P,800,540
N03054,Dante Gabriel Rossetti,Monna Vanna,1866,P,889,864
T07519,John Currin,Honeymoon Nude,1998,P,1168,914
N06188,Sir Stanley Spencer,Self-Portrait,1914,P,630,510
T00772,Philip James De Loutherbourg,An Avalanche in the Alps,1803,L,1099,1600
N00079,Sir Joshua Reynolds,Three Ladies Adorning a Term of Hymen,1773,O,2337,2908
TW1258,Joseph Mallord William Turner,"The Burning of the House of Lords and Commons, 16th October 1834",1835,L,921,1232
N01043,James Ward,"Gordale Scar (A View of Gordale, in the Manor of East Malham in Craven, Yorkshire, the Property of Lord Ribblesdale)",1812,L,3327,4216
N01990,Joseph Mallord William Turner,Sunrise with Sea Monsters,1845,L,914,1219
N04102,John Singer Sargent,Study of Mme Gautreau,1884,P,2064,1079
N06194,Natalia Goncharova,Linen,1913,O,956,838
N04622,James Abbott McNeill Whistler,Harmony in Grey and Green: Miss Cicely Alexander,1872,P,1902,978
T13636,Giorgio Morandi,Still Life,1960,O,248,280
T03028,Marcus Gheeraerts II,Portrait of Captain Thomas Lee,1594,P,2305,1508
N05596,Richard Wilson,"Llyn-y-Cau, Cader Idris",1774,L,511,730
T00295,George Stubbs,Mares and Foals in a River Landscape,1763,O,1016,1619
T01108,Willem de Kooning,The Visit,1966,O,1524,1219
N05916,Edward Collier,Still Life with a Volume of Wither’s ‘Emblemes’,1696,O,838,1079
N05065,James Abbott McNeill Whistler,Crepuscule in Flesh Colour and Green: Valparaiso,1866,L,586,759
N01584,"Sir John Everett Millais, Bt",Speak! Speak!,1895,O,1676,2108
N00523,Joseph Mallord William Turner,Ancient Rome; Agrippina Landing with the Ashes of Germanicus,1839,L,914,1219
N02476,Arthur Hughes,April Love,1855,P,889,495
N00503,Joseph Mallord William Turner,"Rome, from the Vatican. Raffaelle, Accompanied by La Fornarina, Preparing his Pictures for the Decoration of the Loggia",1820,L,1772,3353
T05217,Lisa Milroy,Light Bulbs,1988,O,2034,2845
T06736,Sir Nathaniel Dance-Holland,The Meeting of Dido and Aeneas,1766,O,1240,1740
TW0948,Joseph Mallord William Turner,"Helvoetsluys; - the City of Utrecht, 64, Going to Sea",1832,L,914,1220
N00558,Joseph Mallord William Turner,A Disaster at Sea,1835,L,1714,2203
N01645,George Frederic Watts,Love and Death,1885,O,2476,1168
N04787,John Singer Sargent,Vernon Lee,1881,P,537,432
T03374,Theo van Doesburg,Counter-Composition VI,1925,O,500,500
N03708,John Singer Sargent,"Ena and Betty, Daughters of Asher and Mrs Wertheimer",1901,P,1854,1308
T00676,Victor Vasarely,Supernovae,1959,O,2419,1524
N04273,Harold Gilman,Leeds Market,1913,O,508,610
N05688,Evelyn Dunbar,A Land Girl and the Bail Bull,1945,L,914,1829
N01876,Joseph Mallord William Turner,Sunset,1830,L,667,819
N01839,Sir Frank Dicksee,The Two Crowns,1900,O,2311,1823
N06135,Marc Chagall,The Dance and the Circus,1950,O,349,267
N05491,Joseph Mallord William Turner,Three Seascapes,1827,O,908,603
N02653,John Constable,"Malvern Hall, Warwickshire",1809,L,514,768
T04945,Dora Carrington,Farm at Watendlath,1921,L,611,669
T03415,Meredith Frampton,Marguerite Kelsey,1928,P,1208,1412
N01153,William Hogarth,The Strode Family,1738,O,1126,1175
N01574,"Frederic, Lord Leighton",The Bath of Psyche,1890,O,1892,622
N06248,Karl Schmidt-Rottluff,Dr Rosa Schapire,1919,P,1006,873
N01407,William Dyce,"Pegwell Bay, Kent - a Recollection of October 5th 1858",1858,L,635,889
N00382,John Simpson,Head of a Man (?Ira Frederick Aldridge),1827,P,733,562
N01275,John Constable,Hampstead Heath with a Rainbow,1836,L,508,762
T03291,Lee Krasner,Gothic Landscape,1961,O,1768,2378
T12796,Gerald Leslie Brockhurst,"Portrait of Margaret, Duchess of Argyll",1931,P,762,641
N00516,Joseph Mallord William Turner,Childe Harold’s Pilgrimage - Italy,1832,L,1422,2483
T12988,John Singer Sargent,Mrs Carl Meyer and her Children,1896,P,2014,1340
N03420,James Abbott McNeill Whistler,Nocturne: Blue and Silver - Cremorne Lights,1872,L,502,743
N00461,Joseph Mallord William Turner,"Morning amongst the Coniston Fells, Cumberland",1798,L,1229,899
N01541,John William Waterhouse,Consulting the Oracle,1884,O,1194,1981
N02940,Sir William Orpen,The Mirror,1900,P,508,406
L02546,John Currin,Thanksgiving,2003,O,1729,1323
N00477,Joseph Mallord William Turner,The Goddess of Discord Choosing the Apple of Contention in the Garden of the Hesperides,1806,L,1553,2184
N01630,George Frederic Watts,Mammon,1884,P,1829,1060
N01509,"Sir John Everett Millais, Bt",The North-West Passage,1874,P,1765,2222
T02309,Giorgio de Chirico,The Melancholy of Departure,1916,O,518,359
N00422,Daniel Maclise,The Play Scene in ‘Hamlet’,1842,O,1524,2743
N05555,Harold Gilman,The Artist’s Mother,1913,P,610,505
N01612,Sir George Clausen,The Girl at the Gate,1889,P,1714,1384
T00439,Ceri Richards,‘Do not go gentle into that good night’,1956,O,1067,711
T14872,William Stott of Oldham,Le Passeur (The Ferryman),1881,O,1092,2153
T00961,Sir Stanley Spencer,St Francis and the Birds,1935,O,660,584
N00502,Joseph Mallord William Turner,"England: Richmond Hill, on the Prince Regent’s Birthday",1819,L,1800,3346
T04115,R.B. Kitaj,"Cecil Court, London W.C.2. (The Refugees)",1983,O,1830,1830
N01627,Frank Bramley,A Hopeless Dawn,1888,O,1226,1676
N01553,Elizabeth Butler (Lady Butler),The Remnants of an Army,1879,O,1321,2337
T13719,Lucian Freud,Girl in a Striped Nightshirt,1983,P,430,380
N05957,John Constable,"Chain Pier, Brighton",1826,L,1270,1829
N01511,"Frederic, Lord Leighton",And the Sea Gave Up the Dead Which Were in It,1892,O,2286,2286
L01926,Canaletto (Giovanni Antonio Canal),A View of Greenwich from the River,1750,L,591,940
T03189,David Inshaw,The Badminton Game,1972,L,1524,1835
T12865,"Sir John Everett Millais, Bt",Dew-Drenched Furze,1889,L,1732,1230
T00920,Robert Delaunay,"Windows Open Simultaneously (First Part, Third Motif)",1912,O,457,375
T00453,Francis Bacon,Reclining Woman,1961,P,1988,1416
N01590,Thomas Cooper Gotch,Alleluia,1896,O,1333,1841
N04132,Joseph Wright of Derby,Sir Brooke Boothby,1781,P,1486,2076
N00470,Joseph Mallord William Turner,The Tenth Plague of Egypt,1802,O,1435,2362
AR01126,Edward Ruscha,The Music from the Balconies,1984,O,2515,2057
N06034,Graham Sutherland OM,Somerset Maugham,1949,P,1372,635
N05305,William Etty,Standing Female Nude,1835,O,1016,648
N00492,Joseph Mallord William Turner,Frosty Morning,1813,L,1137,1746
N00606,Sir Edwin Henry Landseer,Shoeing,1844,O,1422,1118
N00162,Sir Joshua Reynolds,The Infant Samuel,1776,P,914,714
N04717,Henri Matisse,Trivaux Pond,1916,L,927,743
N04723,Amedeo Modigliani,Portrait of a Girl,1917,P,806,597
N05077,Vanessa Bell,Nude,1922,P,813,654
T05077,Karel Appel,"Hip, Hip, Hoorah!",1949,O,817,1270
T07080,Yves Tanguy,Azure Day,1937,O,630,812
T07956,Sir Anthony Van Dyck,"Portrait of Mary Hill, Lady Killigrew",1638,P,1065,833
N05638,Thomas Gainsborough,The Artist’s Daughter Mary,1777,P,775,648
N04465,John Singer Sargent,Miss Priestley,1889,P,914,635
N04184,Claude Monet,Woman Seated on a Bench,1874,P,737,559
T03366,Richard Wilson,Meleager and Atalanta,1770,L,1045,1295
N04093,Augustus John OM,Madame Suggia,1920,P,1867,1651
N04719,Pablo Picasso,Seated Woman in a Chemise,1923,P,921,730
T03834,Oskar Kokoschka,The Crab,1939,O,634,762
N01374,William Hogarth,Heads of Six of Hogarth’s Servants,1750,P,630,755
T13558,Henry Thomson,The Raising of Jairus’ Daughter,1820,O,2414,2990
N01613,Henry Scott Tuke,August Blue,1893,L,1219,1829
T07403,Ellsworth Kelly,Yellow Curve,1996,O,3556,1357
N04445,Joseph Mallord William Turner,Seascape with Storm Coming On,1840,L,914,1216
N02440,Dante Gabriel Rossetti,Sancta Lilias,1874,P,483,457
T03548,Walter Richard Sickert,La Hollandaise,1906,P,511,406
T03864,Asger Jorn,Letter to my Son,1956,O,1300,1955
TW0352,Joseph Mallord William Turner,"The Eruption of the Souffrier Mountains, in the Island of St Vincent, at Midnight, on the 30th of April, 1812, from a Sketch Taken at the Time by Hugh P. Keane, Esqre",1815,L,794,1048
N02655,John Constable,"Maria Bicknell, Mrs John Constable",1816,P,305,251
T01287,Derek Boshier,The Identi-Kit Man,1962,O,1830,1832
N05953,Karl Schmidt-Rottluff,Woman with a Bag,1915,P,952,873
T03105,Lucian Freud,Two Plants,1977,O,1499,1200
T03693,Peter Lanyon,Wreck,1963,O,1220,1830
N01992,Joseph Mallord William Turner,The Thames above Waterloo Bridge,1830,L,905,1210
T01076,Pierre Bonnard,Nude Bending Down,1923,P,571,527
N01544,Stanhope Alexander Forbes,The Health of the Bride,1889,O,1524,2000
N05477,Joseph Mallord William Turner,Seascape with Buoy,1840,L,914,1219
T11810,Judith Rothschild,Untitled Composition,1945,O,730,595
T00324,Man Ray,Pisces,1938,O,600,730
N04824,Armand Guillaumin,Moret-sur-Loing,1902,L,600,730
N00887,Sir Joshua Reynolds,Doctor Samuel Johnson,1772,P,756,622
N04538,Norbert Goeneutte,The Boulevard de Clichy under Snow,1876,L,600,733
N05386,"Unknown artist, Britain",A Black Model,1830,P,1283,1016
N00358,William Etty,"Candaules, King of Lydia, Shews his Wife by Stealth to Gyges, One of his Ministers, as She Goes to Bed",1830,O,451,559
T07469,Simon Du Bois,"Portrait of a Gentleman, probably Arthur Parsons MD",1683,P,769,642
N01249,William Dobson,Endymion Porter,1642,P,1499,1270
N03597,William Lindsay Windus,Too Late,1858,O,952,762
N05779,William Maw Egley,Omnibus Life in London,1859,O,448,419
T01541,Patrick Heron,Horizontal Stripe Painting : November 1957 - January 1958,1957,O,2743,1548
T00245,Maria Helena Vieira da Silva,Paris,1951,O,327,457
T07104,John Singer Sargent,Portrait of Ena Wertheimer: A Vele Gonfie,1905,P,1630,1080
T00132,John Michael Wright,Sir Neil O’Neill,1680,P,2327,1632
N00535,Joseph Mallord William Turner,The Sun of Venice Going to Sea,1843,O,616,921
N00483,Joseph Mallord William Turner,London from Greenwich Park,1809,L,902,1200
N02882,Joseph Mallord William Turner,Waves Breaking on a Lee Shore at Margate (Study for ‘Rockets and Blue Lights’),1840,L,597,952
N03295,Edouard Manet,Woman with a Cat,1880,P,921,730
T13308,Saloua Raouda Choucair,Composition in Blue Module,1947,O,595,800
T03672,Georg Baselitz,Adieu,1982,O,2500,3005
N00512,Joseph Mallord William Turner,Caligula’s Palace and Bridge,1831,L,1372,2464
T07693,John Singer Sargent,Portrait of Mrs Robert Harrison,1886,P,1578,803
T00782,Alberto Giacometti,Caroline,1965,P,1302,813
T07312,Jonathan Leaman,A Jan Steen Kitchen,1995,O,1235,1705
N01236,John Constable,"Hampstead Heath, with the House Called ‘The Salt Box’",1819,L,384,670
T06612,Mary Beale,Portrait of a Young Girl,1681,P,535,460
N03566,Augustus John OM,Colonel T.E. Lawrence,1919,P,800,597
T01588,Richard Smith,Painting,1958,O,1520,1221
N01482,Thomas Gainsborough,The Artist’s Daughter Margaret,1772,P,756,629
TW1328,Joseph Mallord William Turner,Rockets and Blue Lights (Close at Hand) to Warn Steam Boats of Shoal Water,1840,O,902,1194
T07705,André Fougeron,Return from the Market,1953,P,1946,1297
N00126,Benjamin West,Pylades and Orestes Brought as Victims before Iphigenia,1766,O,1003,1264
N00463,Joseph Mallord William Turner,"Aeneas and the Sibyl, Lake Avernus",1798,L,765,984
T03564,Raoul Dufy,The Wheatfield,1929,L,1300,1620
T00618,William Dyce,Madonna and Child,1827,P,1029,806
T06734,Sir William Beechey,Portrait of Sir Francis Ford’s Children Giving a Coin to a Beggar Boy,1793,O,1805,1500
N01641,George Frederic Watts,Love and Life,1884,O,2222,1219
T00058,Sir Peter Lely,Two Ladies of the Lake Family,1660,P,1270,1810
N03174,Gwen John,A Lady Reading,1909,P,403,254
N01244,John Constable,"Gillingham Bridge, Dorset",1823,L,321,514
T03614,Abraham Solomon,Waiting for the Verdict,1857,O,1019,1273
N05908,Alberto Giacometti,Interior,1949,O,710,599
N05078,Vanessa Bell,Interior with a Table,1921,O,540,641
N06008,Philip Wilson Steer,"Girls Running, Walberswick Pier",1888,O,629,927
T11861,Glyn Warren Philpot,Repose on the Flight into Egypt,1922,O,749,1161
T04147,Mark Rothko,Untitled,1946,O,1000,700
N01577,Briton Riviere,Beyond Man’s Footsteps,1894,L,1190,1845
T00306,Henri Matisse,Draped Nude,1936,P,457,375
T06640,William Dobson,Portrait of the Artist’s Wife,1635,P,610,457
T00755,Sir Peter Lely,Portrait of an Unknown Woman,1670,P,1251,1003
N05487,Joseph Mallord William Turner,Venice with the Salute,1840,O,622,927
T02020,David Des Granges,The Saltonstall Family,1636,O,2140,2762
N00513,Joseph Mallord William Turner,Vision of Medea,1828,O,1737,2489
T07694,Sir William Orpen,Zonnebeke,1918,L,635,762
N00682,Benjamin Robert Haydon,Punch or May Day,1829,O,1505,1851
N00432,Edward Matthew Ward,"The South Sea Bubble, a Scene in ‘Change Alley in 1720",1847,O,1295,1880
N02650,John Constable,Yarmouth Jetty,1823,L,324,505
N05392,Paul Nash,Pillar and Moon,1932,L,508,762
T00465,Henri de Toulouse-Lautrec,Emile Bernard,1885,P,540,445
T03096,Charles Ginner,Piccadilly Circus,1912,O,813,660
N00327,John Constable,The Valley Farm,1835,L,1473,1251
N00142,Sir Thomas Lawrence,John Philip Kemble as Hamlet,1801,P,3061,1981
N01814,John Constable,Salisbury Cathedral from the Meadows,1829,L,365,511
N04500,Joseph Van Aken,An English Family at Tea,1720,O,994,1162
T12612,Pierre Bonnard,The Yellow Boat,1936,L,581,754
T00211,George Lambert,Classical Landscape,1745,L,1035,1168
T04105,James Collinson,Home Again,1856,O,827,1155
T06782,Henry Gibbs,Aeneas and his Family Fleeing Burning Troy,1654,O,1550,1598
L01713,John Singer Sargent,Portrait of Mrs Leopold Hirsch,1902,P,1450,900
T11896,Dora Carrington,Spanish Landscape with Mountains,1924,L,559,667
T03294,Max Beckmann,Carnival,1920,O,1864,918
N05066,John Singer Sargent,W. Graham Robertson,1894,P,2305,1187
N03343,Sir Joshua Reynolds,Lady Bampfylde,1776,P,2381,1480
T05747,Theodor von Holst,Fantasy Based on Goethe’s ‘Faust’,1834,O,1116,757
N05261,Philip Wilson Steer,Seated Nude: The Black Hat,1900,P,508,406
N05574,Camille Pissarro,Portrait of Felix Pissarro,1881,P,552,464
T00519,William Williams,Thunderstorm with the Death of Amelia,1784,L,635,1019
N05343,Algernon Newton,"The Surrey Canal, Camberwell",1935,L,718,914
T03231,"Sir Cedric Morris, Bt",Lucian Freud,1941,P,730,603
N00548,Joseph Mallord William Turner,Queen Mab’s Cave,1846,O,921,1226
T07328,Piet Mondrian,"Sun, Church in Zeeland; Zoutelande Church Facade",1909,O,905,621
T14922,Marlene Dumas,Lord Alfred Douglas (Bosie),2016,P,502,404
T00591,L.S. Lowry,Hillside in Wales,1962,L,762,1016
T12539,Francis Bacon,Figures in a Garden,1935,O,739,940
N02064,Joseph Mallord William Turner,"The Chain Pier, Brighton",1828,L,711,1365
N04249,Alfred Sisley,The Bridge at Sèvres,1877,L,381,460
T07863,Johan Zoffany,"Three Sons of John, 3rd Earl of Bute",1763,O,1009,1260
T00070,Sir Peter Lely,"Elizabeth, Countess of Kildare",1679,P,1234,1000
N01625,John Melhuish Strudwick,A Golden Thread,1885,O,724,425
T14037,George Elgar Hicks,Woman’s Mission: Comfort of Old Age,1862,O,762,638
T00140,John Minton,Composition: The Death of James Dean,1957,O,1219,1829
N01046,William Hogarth,Sigismunda Mourning over the Heart of Guiscardo,1759,P,1004,1265
N05744,Gwen John,Young Woman Holding a Black Cat,1920,P,460,298
N04117,Sir Stanley Spencer,Christ Carrying the Cross,1920,O,1530,1429
T00422,Lucian Freud,Man with a Thistle (Self-Portrait),1946,P,610,502
T03666,Sir George Clausen,Winter Work,1883,O,775,921
T07400,John Ward,The Newspaper Boys,1960,P,1372,915
TW1813,Joseph Mallord William Turner,"The Devil’s Bridge, St Gothard",1803,L,768,628
T14302,Yves Tanguy,A Thousand Times,1933,O,635,510
N06206,Francis Hayman,The Wrestling Scene from ‘As You Like It’,1740,O,527,921
T03569,Amedeo Modigliani,Madame Zborowska,1918,P,645,460
N01274,John Constable,The Glebe Farm,1830,L,648,956
N06190,Graham Sutherland OM,Entrance to a Lane,1939,O,614,507
AR00344,Gerhard Richter,Brigid Polk (305),1971,P,1752,1750
N04505,Sir Joshua Reynolds,Self-Portrait as a Deaf Man,1775,P,749,622
T02410,Albert Gleizes,Portrait of Jacques Nayral,1911,P,1619,1140
N00310,Thomas Gainsborough,Sunset: Carthorses Drinking at a Stream,1760,L,1435,1537
TW0867,Joseph Mallord William Turner,Walton Bridges,1807,L,922,1224
N03474,Daniel Mytens the Elder,"Portrait of James Hamilton, Earl of Arran, Later 3rd Marquis and 1st Duke of Hamilton, Aged 17",1623,P,2007,1251
N04924,Henri Matisse,Reading Woman with Parasol,1921,P,508,616
T03064,Albert Moore,A Garden,1869,P,1746,879
T03334,Hermann Nitsch,Poured Painting,1963,O,1048,806
T03230,"Sir Cedric Morris, Bt",Iris Seedlings,1943,O,1219,918
N01632,George Frederic Watts,‘For he had great possessions’,1894,P,1397,584
N05256,Philip Wilson Steer,The Bridge,1887,L,495,655
N01167,John Opie,Mary Wollstonecraft (Mrs William Godwin),1790,P,759,638
T05486,Oskar Kokoschka,Loreley,1941,O,635,762
T02058,George Stubbs,Horse Devoured by a Lion,1763,O,692,1035
N05269,Amedeo Modigliani,The Little Peasant,1918,P,1000,645
N05910,Gwen John,Dorelia in a Black Dress,1903,P,730,489
N04662,Joseph Mallord William Turner,Yacht Approaching the Coast,1840,L,1022,1422
N02001,Joseph Mallord William Turner,"Study of Sea and Sky, Isle of Wight",1827,L,321,502
N05515,Joseph Mallord William Turner,Seascape,1835,L,902,1210
T02375,George Stubbs,"Otho, with John Larkin up",1768,L,1013,1270
N05317,Harold Gilman,Mrs Mounter at the Breakfast Table,1916,P,610,406
L02305,Canaletto (Giovanni Antonio Canal),London: The Old Horse Guards from St James’s Park,1749,L,1172,2361
T03031,"Unknown artist, Britain","Portrait of a Lady, Called Elizabeth, Lady Tanfield",1615,P,2212,1370
N04592,Camille Pissarro,Self-Portrait,1903,P,410,333
N04485,Sir George Clausen,A Frosty March Morning,1904,L,635,762
N02063,Ford Madox Brown,Chaucer at the Court of Edward III,1856,O,1232,991
T03683,Atkinson Grimshaw,"Bowder Stone, Borrowdale",1863,L,400,536
N05575,Camille Pissarro,The Little Country Maid,1882,O,635,530
T07552,Paul Nash,Flight of the Magnolia,1944,O,511,762
N06242,Thomas Gainsborough,Gainsborough Dupont,1770,P,455,375
N05437,Wyndham Lewis,Edith Sitwell,1923,P,864,1118
N05780,Philip Hermogenes Calderon,Broken Vows,1856,P,914,679
T02139,Sir Anthony Van Dyck,A Lady of the Spencer Family,1633,P,2076,1276
T03885,Joseph Mallord William Turner,Chichester Canal,1829,L,635,1320
